,name,director_actor,info,rating_score,rating_num,introduce
121,萤火之森,导演:大森贵弘TakahiroOmori主演:佐仓绫音AyaneSakura内山昂辉K...,2011/日本/剧情爱情动画奇幻,8.9,365718人评价,触不到的恋人。
122,大鱼,导演:蒂姆·波顿TimBurton主演:伊万·麦克格雷格EwanMcGregor阿...,2003/美国/剧情家庭奇幻冒险,8.8,430386人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
123,阳光姐妹淘,导演:姜炯哲Hyeong-CheolKang主演:沈恩京Eun-kyungShim闵孝琳Hy...,2011/韩国/剧情喜剧,8.8,465712人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
124,超能陆战队,导演:唐·霍尔DonHall克里斯·威廉姆斯ChrisWilliams主演:斯科特...,2014/美国/喜剧动作科幻动画冒险,8.7,728557人评价,Balalala~~~
125,驯龙高手,导演:迪恩·德布洛斯DeanDeBlois克里斯·桑德斯ChrisSanders主演:...,2010/美国/动画奇幻冒险,8.7,560570人评价,和谐的生活离不开摸头与被摸头。
126,射雕英雄传之东成西就,导演:刘镇伟JeffreyLau主演:梁朝伟TonyLeungChiuWai林青霞Bri...,1993/中国香港/喜剧奇幻武侠古装,8.7,479285人评价,百看不厌。 
127,借东西的小人阿莉埃蒂,导演:米林宏昌HiromasaYonebayashi主演:志田未来MiraiShida神木...,2010/日本/动画奇幻冒险,8.8,397379人评价,曾经的那段美好会沉淀为一辈子的记忆。
128,幸福终点站,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...,2004/美国/喜剧剧情爱情,8.8,397876人评价,有时候幸福需要等一等。 
129,菊次郎的夏天,导演:北野武TakeshiKitano主演:北野武TakeshiKitano关口雄介Yus...,1999/日本/剧情喜剧,8.8,378094人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
130,爱在日落黄昏时,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...,2004/美国法国/剧情爱情,8.8,370086人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
131,恐怖直播,导演:金秉祐Byeong-wooKim主演:河正宇Jung-wooHa李璟荣Kyeong-y...,2013/韩国/剧情犯罪悬疑,8.8,464233人评价,恐怖分子的“秋菊打官司”。
132,完美的世界,导演:克林特·伊斯特伍德ClintEastwood主演:凯文·科斯特纳KevinCos...,1993/美国/剧情犯罪,9.1,189475人评价,坏人的好总是比好人的好来得更感人。
133,功夫,导演:周星驰StephenChow主演:周星驰StephenChow元秋QiuYuen...,2004/中国大陆中国香港/动作喜剧犯罪奇幻,8.6,701629人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
134,人生果实,导演:伏原健之KenshiFushihara主演:津端修一ShûichiTsubata津...,2017/日本/纪录片,9.5,103095人评价,土壤没有落叶不会肥沃，没有了你就不算人生。
135,神偷奶爸,导演:皮艾尔·柯芬PierreCoffin克里斯·雷纳德ChrisRenaud主演:...,2010/美国法国/喜剧动画冒险,8.6,722450人评价,Mr. I Don't Care其实也有Care的时候。
136,怪兽电力公司,导演:彼特·道格特PeteDocter大卫·斯沃曼DavidSilverman主演:约...,2001/美国/儿童喜剧动画奇幻冒险,8.7,473989人评价,不要给它起名字，起了名字就有感情了。
137,玩具总动员3,导演:李·昂克里奇LeeUnkrich主演:汤姆·汉克斯TomHanks蒂姆·艾...,2010/美国/喜剧动画奇幻冒险,8.8,367239人评价,跨度十五年的欢乐与泪水。
138,傲慢与偏见,导演:乔·怀特JoeWright主演:凯拉·奈特莉KeiraKnightley马修·...,2005/法国英国美国/剧情爱情,8.6,562521人评价,爱是摈弃傲慢与偏见之后的曙光。
139,血战钢锯岭,导演:梅尔·吉布森MelGibson主演:安德鲁·加菲尔德AndrewGarfield...,2016/美国澳大利亚/剧情传记历史战争,8.7,590524人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
