ranking,name,director_actor,info,rating_score,rating_num,introduce
114,一一,导演:杨德昌EdwardYang   主演:吴念真李凯莉KellyLee金燕玲Elai...,2000/中国台湾日本/剧情爱情家庭,9.0,245721人评价,我们都曾经是一一。
115,唐伯虎点秋香,导演:李力持Lik-ChiLee   主演:周星驰StephenChow巩俐LiGong陈...,1993/中国香港/喜剧爱情古装,8.6,707074人评价,华太师是黄霑，吴镇宇四大才子之一。
116,告白,导演:中岛哲也TetsuyaNakashima   主演:松隆子TakakoMatsu冈田将生...,2010/日本/剧情惊悚,8.7,529163人评价,没有一人完全善，也没有一人完全恶。
117,蝙蝠侠：黑暗骑士崛起,导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...,2012/美国英国/剧情动作科幻犯罪惊悚,8.8,501327人评价,诺兰就是保证。
118,大鱼,导演:蒂姆·波顿TimBurton   主演:伊万·麦克格雷格EwanMcGregor阿...,2003/美国/剧情家庭奇幻冒险,8.8,413285人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
119,阳光姐妹淘,导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim闵孝琳Hy...,2011/韩国/剧情喜剧,8.8,449128人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
120,倩女幽魂,导演:程小东Siu-TungChing   主演:张国荣LeslieCheung王祖贤JoeyW...,1987/中国香港/爱情奇幻武侠古装,8.7,500071人评价,两张绝世的脸。 
121,超脱,导演:托尼·凯耶TonyKaye   主演:艾德里安·布洛迪AdrienBrody马西...,2011/美国/剧情,8.9,319263人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
122,射雕英雄传之东成西就,导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai林青霞Bri...,1993/中国香港/喜剧奇幻武侠古装,8.7,459968人评价,百看不厌。 
123,萤火之森,导演:大森贵弘TakahiroOmori   主演:佐仓绫音AyaneSakura内山昂辉K...,2011/日本/剧情爱情动画奇幻,8.9,342096人评价,触不到的恋人。
124,甜蜜蜜,导演:陈可辛PeterChan   主演:黎明LeonLai张曼玉MaggieCheung...,1996/中国香港/剧情爱情,8.8,362345人评价,相逢只要一瞬间，等待却像是一辈子。
125,驯龙高手,导演:迪恩·德布洛斯DeanDeBlois克里斯·桑德斯ChrisSanders   主演:...,2010/美国/动画奇幻冒险,8.7,534420人评价,和谐的生活离不开摸头与被摸头。
126,无人知晓,导演:是枝裕和HirokazuKoreeda   主演:柳乐优弥YûyaYagira北浦爱...,2004/日本/剧情,9.1,185844人评价,我的平常生活就是他人的幸福。
127,超能陆战队,导演:唐·霍尔DonHall克里斯·威廉姆斯ChrisWilliams   主演:斯科特...,2014/美国/喜剧动作科幻动画冒险,8.7,691394人评价,Balalala~~~
128,幸福终点站,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...,2004/美国/喜剧剧情爱情,8.8,378325人评价,有时候幸福需要等一等。 
129,菊次郎的夏天,导演:北野武TakeshiKitano   主演:北野武TakeshiKitano关口雄介Yus...,1999/日本/剧情喜剧,8.8,355839人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
130,借东西的小人阿莉埃蒂,导演:米林宏昌HiromasaYonebayashi   主演:志田未来MiraiShida神木...,2010/日本/动画奇幻冒险,8.8,377209人评价,曾经的那段美好会沉淀为一辈子的记忆。
131,爱在日落黄昏时,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...,2004/美国法国/剧情爱情,8.8,350882人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
132,恐怖直播,导演:金秉祐Byeong-wooKim   主演:河正宇Jung-wooHa李璟荣Kyeong-y...,2013/韩国/剧情犯罪悬疑,8.8,437508人评价,恐怖分子的“秋菊打官司”。
133,完美的世界,导演:克林特·伊斯特伍德ClintEastwood   主演:凯文·科斯特纳KevinCos...,1993/美国/剧情犯罪,9.1,173702人评价,坏人的好总是比好人的好来得更感人。
134,神偷奶爸,导演:皮艾尔·柯芬PierreCoffin克里斯·雷纳德ChrisRenaud   主演:...,2010/美国法国/喜剧动画冒险,8.6,691000人评价,Mr. I Don't Care其实也有Care的时候。
135,怪兽电力公司,导演:彼特·道格特PeteDocter大卫·斯沃曼DavidSilverman   主演:约...,2001/美国/儿童喜剧动画奇幻冒险,8.7,449993人评价,不要给它起名字，起了名字就有感情了。
136,玩具总动员3,导演:李·昂克里奇LeeUnkrich   主演:汤姆·汉克斯TomHanks蒂姆·艾...,2010/美国/喜剧动画奇幻冒险,8.8,349299人评价,跨度十五年的欢乐与泪水。
137,风之谷,导演:宫崎骏HayaoMiyazaki   主演:岛本须美SumiShimamoto松田洋治Y...,1984/日本/动画奇幻冒险,8.9,277096人评价,动画片的圣经。
138,血战钢锯岭,导演:梅尔·吉布森MelGibson   主演:安德鲁·加菲尔德AndrewGarfield...,2016/美国澳大利亚/剧情传记历史战争,8.7,568332人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
